-.0000000000 -.0715073295 -.3097470430 -.5719124784 -.7334864221 -.7289279846 -.5584296067 -.2917619072 -.0602806707 -.0000000000
-.0715073295 -.1864092960 -.2791289992 -.3677651316 -.4223858779 -.4205676874 -.3645650088 -.2773308600 -.1828963960 -.0602806397
-.3491003021 -.3230171212 -.2480228600 -.1899366248 -.1639892669 -.1704639440 -.2094025260 -.2742166296 -.3340627569 -.3151535071
-.8171017009 -.5147787947 -.2042384164 .0205344498 .1284835096 .1124606212 -.0268454472 -.2709158434 -.5582317746 -.7654606094
-1.4763126320 -.7415082858 -.1016393923 .3324615372 .5425501404 .5283540283 .2822101134 -.1941403465 -.8361121288 -1.4517992300
-2.3394556282 -.9375180492 .1469000067 .8348492672 1.1738666536 1.1936421997 .8653878139 .1169740500 -1.0704850047 -2.4562488580
-3.4047579285 -.9265996490 .7157020344 1.6556699860 2.1181363346 2.2144953334 1.9022366200 .9541849888 -.9717801495 -3.8509815443
-4.5538617310 -.1812076540 2.0096211605 3.0152755464 3.4559414981 3.6121907200 3.4979252512 2.7296798491 .2190198601 -5.4796784748
-4.9703458285 3.0473057556 4.9721658609 5.2667153211 5.2098304112 5.2345354129 5.4791697186 5.7178250144 4.2143447380 -6.0766682274
-.0000000000 15.0296538673 10.7670895585 8.1857946571 6.9356250866 6.7083307281 7.4721225302 9.6016947431 13.9233314746 -.0000000000
