  0.0000E+00  0.0000E+00 -0.1041E+01
  0.0000E+00  0.2041E-01 -0.1041E+01
  0.0000E+00  0.4082E-01 -0.1041E+01
  0.0000E+00  0.6122E-01 -0.1042E+01
  0.0000E+00  0.8163E-01 -0.1042E+01
  0.0000E+00  0.1020E+00 -0.1043E+01
  0.0000E+00  0.1224E+00 -0.1045E+01
  0.0000E+00  0.1429E+00 -0.1046E+01
  0.0000E+00  0.1633E+00 -0.1048E+01
  0.0000E+00  0.1837E+00 -0.1050E+01
  0.0000E+00  0.2041E+00 -0.1052E+01
  0.0000E+00  0.2245E+00 -0.1054E+01
  0.0000E+00  0.2449E+00 -0.1057E+01
  0.0000E+00  0.2653E+00 -0.1060E+01
  0.0000E+00  0.2857E+00 -0.1063E+01
  0.0000E+00  0.3061E+00 -0.1067E+01
  0.0000E+00  0.3265E+00 -0.1070E+01
  0.0000E+00  0.3469E+00 -0.1074E+01
  0.0000E+00  0.3673E+00 -0.1078E+01
  0.0000E+00  0.3878E+00 -0.1083E+01
  0.0000E+00  0.4082E+00 -0.1088E+01
  0.0000E+00  0.4286E+00 -0.1092E+01
  0.0000E+00  0.4490E+00 -0.1098E+01
  0.0000E+00  0.4694E+00 -0.1103E+01
  0.0000E+00  0.4898E+00 -0.1109E+01
  0.0000E+00  0.5102E+00 -0.1114E+01
  0.0000E+00  0.5306E+00 -0.1121E+01
  0.0000E+00  0.5510E+00 -0.1127E+01
  0.0000E+00  0.5714E+00 -0.1133E+01
  0.0000E+00  0.5918E+00 -0.1140E+01
  0.0000E+00  0.6122E+00 -0.1147E+01
  0.0000E+00  0.6327E+00 -0.1154E+01
  0.0000E+00  0.6531E+00 -0.1161E+01
  0.0000E+00  0.6735E+00 -0.1169E+01
  0.0000E+00  0.6939E+00 -0.1176E+01
  0.0000E+00  0.7143E+00 -0.1184E+01
  0.0000E+00  0.7347E+00 -0.1192E+01
  0.0000E+00  0.7551E+00 -0.1200E+01
  0.0000E+00  0.7755E+00 -0.1208E+01
  0.0000E+00  0.7959E+00 -0.1216E+01
  0.0000E+00  0.8163E+00 -0.1225E+01
  0.0000E+00  0.8367E+00 -0.1233E+01
  0.0000E+00  0.8571E+00 -0.1242E+01
  0.0000E+00  0.8776E+00 -0.1251E+01
  0.0000E+00  0.8980E+00 -0.1260E+01
  0.0000E+00  0.9184E+00 -0.1269E+01
  0.0000E+00  0.9388E+00 -0.1277E+01
  0.0000E+00  0.9592E+00 -0.1283E+01
  0.0000E+00  0.9796E+00 -0.1285E+01
  0.0000E+00  0.1000E+01 -0.1285E+01

  0.2041E-01  0.0000E+00 -0.1041E+01
  0.2041E-01  0.2041E-01 -0.1041E+01
  0.2041E-01  0.4082E-01 -0.1041E+01
  0.2041E-01  0.6122E-01 -0.1042E+01
  0.2041E-01  0.8163E-01 -0.1043E+01
  0.2041E-01  0.1020E+00 -0.1044E+01
  0.2041E-01  0.1224E+00 -0.1045E+01
  0.2041E-01  0.1429E+00 -0.1046E+01
  0.2041E-01  0.1633E+00 -0.1048E+01
  0.2041E-01  0.1837E+00 -0.1050E+01
  0.2041E-01  0.2041E+00 -0.1052E+01
  0.2041E-01  0.2245E+00 -0.1055E+01
  0.2041E-01  0.2449E+00 -0.1057E+01
  0.2041E-01  0.2653E+00 -0.1060E+01
  0.2041E-01  0.2857E+00 -0.1063E+01
  0.2041E-01  0.3061E+00 -0.1067E+01
  0.2041E-01  0.3265E+00 -0.1070E+01
